mjd	why	night_mjd	sequence
60095.37152777778	cadence	60095	Elias_S1_g
60096.37152777778	pregap	60096	Elias_S1_g
60101.96875	postgap	60102	COSMOS_g
60110.37152777778	postgap	60110	Elias_S1_g
60112.37152777778	cadence	60112	Elias_S1_g
60114.37152777778	cadence	60114	Elias_S1_g
60116.37152777778	cadence	60116	Elias_S1_g
60118.37152777778	cadence	60118	Elias_S1_g
60120.37152777778	cadence	60120	Elias_S1_g
60122.37152777778	cadence	60122	Elias_S1_g
60124.37152777778	cadence	60124	Elias_S1_g
60125.37152777778	pregap	60125	Elias_S1_g
60132.37152777778	bridge	60132	Elias_S1_g
60135.37152777778	postgap	60135	Elias_S1_g
60137.37152777778	cadence	60137	Elias_S1_g
60138.37152777778	cadence	60138	ECDFS_g
60139.37152777778	cadence	60139	Elias_S1_g
60140.37152777778	cadence	60140	ECDFS_g
60141.37152777778	cadence	60141	Elias_S1_g
60142.37152777778	cadence	60142	ECDFS_g
60143.37152777778	cadence	60143	Elias_S1_g
60144.37152777778	cadence	60144	ECDFS_g
60145.37013888889	cadence	60145	Elias_S1_g
60146.32013888889	cadence	60146	XMM-LSS_g
60146.37152777778	cadence	60146	ECDFS_g
60147.36388888889	cadence	60147	Elias_S1_g
60148.32013888889	cadence	60148	XMM-LSS_g
60148.37152777778	cadence	60148	ECDFS_g
60149.3625	cadence	60149	Elias_S1_g
60150.32013888889	cadence	60150	XMM-LSS_g
60150.37152777778	cadence	60150	ECDFS_g
60151.35138888889	cadence	60151	Elias_S1_g
60152.32013888889	pregap	60152	XMM-LSS_g
60152.37152777778	pregap	60152	ECDFS_g
60153.35138888889	cadence	60153	Elias_S1_g
60154.3625	pregap	60154	Elias_S1_g
60159.32013888889	bridge	60159	XMM-LSS_g
60159.37152777778	bridge	60159	ECDFS_g
60161.33125	bridge	60161	Elias_S1_g
60164.175	postgap	60164	Elias_S1_g
60165.36388888889	postgap	60165	ECDFS_g
60166.26875	cadence	60166	Elias_S1_g
60166.36388888889	postgap	60166	XMM-LSS_g
60167.260416666664	cadence	60167	Euclid_g
60167.36388888889	cadence	60167	ECDFS_g
60168.30902777778	cadence	60168	Elias_S1_g
60168.36388888889	cadence	60168	XMM-LSS_g
60169.260416666664	cadence	60169	Euclid_g
60169.36388888889	cadence	60169	ECDFS_g
60170.30138888889	cadence	60170	Elias_S1_g
